content id,Ref ID,UXA,Tagging,Copy,Assets,Legal,Client,Flow,Node,Block,Block Priority,Required Tags,Display only if inventory,Template,VDM Content Link,Video Platform,Video ID,,default action,default target,Question / Title (Carousel),Description,Disclosure,Choice A,Tags A,Affirmation A,Action A,Target A,Choice B,Tags B,Affirmation B,Action B,Target B,Choice C,Tags C,Affirmation C,Action C,Target C,Choice D,Tags D,Affirmation D,Action D,Target D,Choice E,Tags E,Affirmation E,Action E,Target E
20001,1,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,"randomizeBlock({ priority:10, numberToRun:99, onComplete:20002})","First, let’s talk basics. Stuff like seats, cargo space and number of passengers. Then I can start narrowing down vehicles. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,2,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,"randomizeBlock({ priority:50, numberToRun:3, onComplete:20003})",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,3,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,"randomizeBlock({ priority:100, numberToRun:99, onComplete:20005})",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,4,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,content id,20007,"Nice work, ${firstName}. I feel like we really connected. I found some awesome vehicles in your area that you’ll love.",,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,5,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,"randomizeBlock({ priority:150, numberToRun:1, onComplete:20006})",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,6,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,"randomizeBlock({ priority:200, numberToRun:2, onComplete:20004})",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,7,,,,,,,Needs,Nameplate Filter,Main,0,,,Button,,,,,,,"Ok, let’s look at some vehicles I think would be a great fit.",,,Let's do this,,,content id,20009,,,,,,,,,,,,,,,,,,,,
20008,8,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,,,,,function,nodeComplete(),"P.S. If you wanna stop, like for a nap or snack, you can come back and we can start right where we left off. I got you.",,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,9,,,,,,,Needs,Nameplate Filter,Main,0,,,Content,take-a-break-tub3.jpeg,,,,content id,20008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101,1,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,So let’s talk seating. Who will be riding in this car most of the time?,,,Mostly me,"persona:individual,persona:default,interior:default,exterior:default",,content id,20102,My partner,"persona:couple,persona:default,interior:default,exterior:default",,content id,20103,The whole fam,"persona:family,persona:default,interior:default,exterior:default",,content id,20121,,,,,,,,,,
20102,2,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,Do you need room for more passengers?,,,Nope,exterior:seats 2,,,,"Yes, please",exterior:seats 3-4,,content id,20105,,,,,,,,,,,,,,,
20103,3,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,Do you need room for more passengers?,,,Nope,exterior:seats 2,,,,"Yes, please",exterior:seats 3-4,,content id,20120,,,,,,,,,,,,,,,
20104,4,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,"How big is the fam? Besides you, how many do you need to fit?",,,1-3,exterior:seats 3-4,,,,4-5,"exterior:seats 5, interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,,,6+,"interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,content id,20107,,,,,,,,,,
20105,5,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,How many extra people?,,,1-3,exterior:seats 3-4,,,,4,exterior:seats 5,,,,5+,"interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,content id,20107,,,,,,,,,,
20106,6,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,"Aw, you guys. So besides you two, how many other people do you need to fit?",,,1-2,exterior:seats 3-4,,,,3-4,"exterior:seats 5, interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,content id,20107,5+,"interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,content id,20107,,,,,,,,,,
20107,7,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Button,,,,,,,[face with open mouth: U+1F62E] Popular! So you’re saying you need a third row?,,,Nah,exterior:seats 5,,,,"Yes, pls","interior:seats 6+, interior:seats 6+b, interior:seats 6+c",,function,goToNode({nodeName:'nameplate.results'}),,,,,,,,,,,,,,,
20120,20,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Content,two-dogs-one-driving-v1.gif,,,,content id,20106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20121,21,,,,,,,Needs,Nameplate Filter,Number of Passengers,10,,,Content,robots-liningup-v1.gif,,,,content id,20104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201,1,,,,,,,Needs,Nameplate Filter,Family Seating,10,persona:family,,Button,,,,,,,Are any of your passengers young kids?,,,Yes,persona:small children,,content id,20202,Nope,,,,,,,,,,,,,,,,,,,
20202,2,,,,,,,Needs,Nameplate Filter,Family Seating,10,,,Quick Reply,,,,,,,How many are in car seats? [baby: U+1F476],,,0,,,content id,20203,1,interior:childseat 1,,content id,20204,2,interior:childseat 2,,content id,20204,3,"interior:childseat 3,interior:childseat 3b,interior:childseat 3c",,content id,20204,4+,"interior:childseat 4+,interior:childseat 4+b,interior:childseat 4+c",For real? Whoa.,content id,20204
